value,period,periodName,footnotes,year,
18217,M12,December,[{'code': 'P', 'text': 'Preliminary.'}],2016,
18257,M11,November,[{}],2016,
18157,M10,October,[{}],2016,
18552,M09,September,[{}],2016,
18566,M08,August,[{}],2016,
17933,M07,July,[{}],2016,
18115,M06,June,[{}],2016,
18259,M05,May,[{}],2016,
17969,M04,April,[{}],2016,
18099,M03,March,[{}],2016,
17935,M02,February,[{}],2016,
17972,M01,January,[{}],2016,
17654,M12,December,[{}],2015,
17765,M11,November,[{}],2015,
17782,M10,October,[{}],2015,
18179,M09,September,[{}],2015,
18310,M08,August,[{}],2015,
17853,M07,July,[{}],2015,
18119,M06,June,[{}],2015,
18030,M05,May,[{}],2015,
17681,M04,April,[{}],2015,
17824,M03,March,[{}],2015,
17852,M02,February,[{}],2015,
17902,M01,January,[{}],2015,
17756,M12,December,[{}],2014,
17776,M11,November,[{}],2014,
17759,M10,October,[{}],2014,
18218,M09,September,[{}],2014,
18337,M08,August,[{}],2014,
17953,M07,July,[{}],2014,
18059,M06,June,[{}],2014,
18054,M05,May,[{}],2014,
17773,M04,April,[{}],2014,
17459,M03,March,[{}],2014,
17599,M02,February,[{}],2014,
17563,M01,January,[{}],2014,
17588,M12,December,[{}],2013,
17260,M11,November,[{}],2013,
17425,M10,October,[{}],2013,
18021,M09,September,[{}],2013,
18340,M08,August,[{}],2013,
17844,M07,July,[{}],2013,
18208,M06,June,[{}],2013,
18297,M05,May,[{}],2013,
17946,M04,April,[{}],2013,
17737,M03,March,[{}],2013,
17815,M02,February,[{}],2013,
17953,M01,January,[{}],2013,
18281,M12,December,[{}],2012,
18236,M11,November,[{}],2012,
18616,M10,October,[{}],2012,
19008,M09,September,[{}],2012,
18972,M08,August,[{}],2012,
18900,M07,July,[{}],2012,
18644,M06,June,[{}],2012,
18424,M05,May,[{}],2012,
18223,M04,April,[{}],2012,
18260,M03,March,[{}],2012,
18144,M02,February,[{}],2012,
18216,M01,January,[{}],2012,
